-36.28	10.00	-28.28	6.14	10.00	14.14	5	10	20	20	0.30	2	0.00	0.00
-32.28	10.00	-32.28	10.14	10.00	10.14	5	10	20	20	0.30	2	0.00	0.00
-32.28	10.00	-28.28	10.14	10.00	14.14	5	10	20	20	0.30	2	0.00	0.00
-32.28	10.00	-24.28	10.14	10.00	18.14	5	10	20	20	0.30	2	0.00	0.00
-28.28	10.00	-36.28	14.14	10.00	6.14	5	10	20	20	0.30	2	0.00	0.00
-28.28	10.00	-32.28	14.14	10.00	10.14	5	10	20	20	0.30	2	0.00	0.00
-28.28	10.00	-28.28	14.14	10.00	14.14	5	10	20	20	0.30	2	0.00	0.00
-28.28	10.00	-24.28	14.14	10.00	18.14	5	10	20	20	0.30	2	0.00	0.00
-28.28	10.00	-20.28	14.14	10.00	22.14	5	10	20	20	0.30	2	0.00	0.00
-24.28	10.00	-32.28	18.14	10.00	10.14	5	10	20	20	0.30	2	0.00	0.00
-24.28	10.00	-28.28	18.14	10.00	14.14	5	10	20	20	0.30	2	0.00	0.00
-24.28	10.00	-24.28	18.14	10.00	18.14	5	10	20	20	0.30	2	0.00	0.00
-20.28	10.00	-28.28	22.14	10.00	14.14	5	10	20	20	0.30	2	0.00	0.00
