-0.1072473	10.00	-49.86857	-0.1072473	0.00	0.1314264	-40	10.00	0
-0.2892316	10.00	-49.58065	-0.1819843	0.00	0.2879269	-39.99696	10.00	-0.001773912
-0.3266478	10.00	-49.51759	-0.03741619	0.00	0.06306253	-39.98886	10.00	-0.004811929
-0.3814943	10.00	-49.40492	-0.0548465	0.00	0.1126658	-39.98086	10.00	-0.007326418
-0.4131728	10.00	-49.33852	-0.03167857	0.00	0.06639481	-39.97099	10.00	-0.009205137
-0.4448285	10.00	-49.27218	-0.03165561	0.00	0.06634668	-39.9592	10.00	-0.01133443
-0.4763247	10.00	-49.20617	-0.03149621	0.00	0.0660126	-39.94576	10.00	-0.01330362
-0.505934	10.00	-49.14148	-0.02960936	0.00	0.06468337	-39.93014	10.00	-0.01513706
-0.5352843	10.00	-49.07598	-0.02935029	0.00	0.06550299	-39.91223	10.00	-0.01691328
-0.5644217	10.00	-49.00951	-0.0291374	0.00	0.06646417	-39.89224	10.00	-0.01868613
-0.5934592	10.00	-48.94328	-0.02903749	0.00	0.06623626	-39.87017	10.00	-0.02036004
-0.6224322	10.00	-48.87719	-0.02897295	0.00	0.06608904	-39.82125	10.00	-0.02364434
-0.6809676	10.00	-48.74366	-0.05853545	0.00	0.1335229	-39.79272	10.00	-0.02530843
-0.7099766	10.00	-48.67749	-0.02900895	0.00	0.06617115	-39.76214	10.00	-0.02690089
-0.7407892	10.00	-48.61158	-0.03081268	0.00	0.06591775	-39.73016	10.00	-0.02841185
-0.7709243	10.00	-48.54711	-0.0301351	0.00	0.0644682	-39.69471	10.00	-0.02985366
-0.8023359	10.00	-48.47991	-0.03141152	0.00	0.06719885	-39.65802	10.00	-0.03100083
-0.832952	10.00	-48.41441	-0.03061616	0.00	0.06549733	-39.61861	10.00	-0.03194078
-0.8640645	10.00	-48.34785	-0.03111243	0.00	0.06655901	-39.57671	10.00	-0.03263767
-0.8954336	10.00	-48.28075	-0.03136917	0.00	0.06710826	-39.49055	10.00	-0.03363145
-0.9567407	10.00	-48.14959	-0.06130708	0.00	0.1311546	-39.4429	10.00	-0.03397554
-0.9882614	10.00	-48.08216	-0.0315207	0.00	0.06743243	-39.395	10.00	-0.03418949
-1.018938	10.00	-48.01653	-0.03067637	0.00	0.06562614	-39.34661	10.00	-0.03426028
-1.049277	10.00	-47.95163	-0.03033891	0.00	0.06490421	-39.29365	10.00	-0.03424809
-1.080921	10.00	-47.881	-0.03164387	0.00	0.07062172	-39.24743	10.00	-0.03423503
-1.107932	10.00	-47.81939	-0.0270113	0.00	0.0616144	-39.14822	10.00	-0.03420668
-1.165921	10.00	-47.68711	-0.05798934	0.00	0.1322772	-39.09856	10.00	-0.03419261
-1.193674	10.00	-47.62088	-0.027753	0.00	0.06623201	-39.04797	10.00	-0.03417822
